Service,Category,Use Case
athena,Analytics,Analyze data in Amazon S3 using standard SQL queries.
bcm-data-exports,Analytics,Export data for analysis and reporting.
databrew,Analytics,Prepare and clean data for analytics and machine learning.
emr,Analytics,Process large amounts of data using big data frameworks such as Apache Hadoop and Spark.
emr-containers,Analytics,Run big data workloads on Amazon EKS and Kubernetes clusters.
emr-serverless,Analytics,Run big data applications without managing servers.
es,Analytics,"Search, analyze, and visualize data in real-time using Elasticsearch."
finspace,Analytics,Manage and analyze financial data in the cloud.
finspace-data,Analytics,Access and analyze financial data in the cloud.
glue,Analytics,Prepare and transform data for analytics and machine learning.
kinesisanalytics,Analytics,Process and analyze real-time streaming data using SQL.
kinesisanalyticsv2,Analytics,Next generation of Amazon Kinesis Analytics for improved real-time data processing.
lakeformation,Analytics,"Build, secure, and manage data lakes in the AWS cloud."
opensearch,Analytics,"Search, analyze, and visualize data in real-time using OpenSearch."
opensearchserverless,Analytics,Serverless OpenSearch service for real-time data search and analysis.
pipes,Analytics,Orchestrate data flows between AWS services and external sources
quicksight,Analytics,Build visualizations and perform ad-hoc analysis on AWS data
redshift,Analytics,Data warehouse service for analytics using SQL and business intelligence tools
redshift-data,Analytics,Query and visualize data stored in Amazon Redshift
redshift-serverless,Analytics,Run Amazon Redshift without managing clusters
rum,Analytics,Analyze and monitor end-user experiences and performance of web applications
synthetics,Analytics,Monitor and test application endpoints with synthetic traffic
sns,Application Integration,Send notifications to applications or users using a fully managed pub/sub messaging service
sqs,Application Integration,"Decouple and scale microservices, distributed systems, and serverless applications using message queues"
stepfunctions,Application Integration,Coordinate distributed applications using visual workflows
swf,Application Integration,Coordinate work across distributed components using Amazon Simple Workflow Service
managedblockchain,Blockchain,Create and manage scalable blockchain networks.
managedblockchain-query,Blockchain,Query blockchain data and transactions.
qldb,Blockchain,Create scalable blockchain networks with Amazon Quantum Ledger Database (QLDB)
qldb-session,Blockchain,Manage sessions for interacting with Amazon QLDB
qbusiness,Business Applications,Build and deploy business applications quickly using AWS services
chatbot,Communication,Integrate AWS with chat platforms to receive notifications and run commands.
chime,Communication,"Provide communication services for online meetings, video conferencing, and chat."
chime-sdk-identity,Communication,Manage identities and authentication for Amazon Chime SDK.
chime-sdk-media-pipelines,Communication,Manage media pipelines for recording and streaming in Amazon Chime SDK.
chime-sdk-meetings,Communication,Manage meeting resources in Amazon Chime SDK.
chime-sdk-messaging,Communication,Manage messaging resources in Amazon Chime SDK.
chime-sdk-voice,Communication,Manage voice resources in Amazon Chime SDK.
application-autoscaling,Compute,Automatically scale AWS resources based on demand.
apprunner,Compute,Build and deploy web applications and APIs quickly and easily without managing infrastructure.
autoscaling,Compute,Automatically adjust the number of Amazon EC2 instances based on demand.
autoscaling-plans,Compute,Create scaling plans to automate and manage scaling for AWS resources.
batch,Compute,Run batch computing jobs on AWS.
compute-optimizer,Compute,Recommend optimal AWS resources for your workloads to reduce costs and improve performance.
ec2,Compute,Scalable virtual servers in the cloud for running applications.
ec2-instance-connect,Compute,Securely connect to your EC2 instances using SSH without requiring a bastion host.
